PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2025-01-31,15:29:17,"Fang, Callan",823765,Right,HAR_CRI,NA,Fastball,Live,NA,91.94907,-2.394637713,-2.092315266,2149.41814,209.9001795,01:00:00,5.9047,0.81081,6.09683,-16.49641,16.58376,9.54167,2.31275,-0.32981,83.11985,-5.516564194,-0.2792901829,0.413957048,-5.85827,9.79187,-0.65499,50,5.71186,4.57622,-133.59573,-6.1171,-10.45481,32.1482,-14.69925,ecd2117f-827b-49b1-a71f-f0dcdd28cb1f,0e317d58-93d9-4ea5-9f63-d92f32c45163,91.05399,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6068126,2037.069082,0.9477304783,NA
2,2025-01-31,15:29:34,"Fang, Callan",823765,Right,HAR_CRI,NA,Fastball,Live,NA,92.51847,-3.165324309,-2.873025078,2240.719694,202.043339,12:45:00,5.94995,0.73664,6.04603,-12.46018,20.35835,8.24284,1.97493,-1.23812,83.55185,-5.52046191,-1.309672649,0.4123167117,-5.38728,12.07131,-0.51759,50,5.69673,6.47021,-134.24464,-7.83684,-9.7088,32.43605,-10.41946,77477430-2e0e-4754-9223-d365571b8f3e,0e317d58-93d9-4ea5-9f63-d92f32c45163,91.41623,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.775227616,2229.346492,0.9949243085,NA
3,2025-01-31,15:29:53,"Fang, Callan",823765,Right,HAR_CRI,NA,Curveball,Live,NA,73.63149,3.093149456,1.484590611,2565.086045,52.81516608,07:45:00,5.97726,0.59484,5.40451,-65.98921,-12.23543,-16.0218,3.37976,0.65084,66.10608,-9.30220605,-1.546090569,0.527686393,9.08334,-7.6404,-0.71605,50,6.20807,-2.30997,-106.7052,3.89207,10.18668,23.0318,-40.74252,d585ded5-ec9d-4ebe-8e6d-128822055405,0e317d58-93d9-4ea5-9f63-d92f32c45163,71.42962,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.07085123,2359.932969,0.9200209767,NA
4,2025-01-31,15:30:13,"Fang, Callan",823765,Right,HAR_CRI,NA,ChangeUp,Live,NA,80.91733,-1.362908305,-1.330229157,909.1320972,266.8677535,03:00:00,5.87328,0.77976,5.8949,-42.21839,0.54412,10.48903,1.08933,0.41878,74.19848,-9.2571676,0.651027676,0.4706553572,-6.0651,0.70121,-0.67884,50,5.7396,2.42525,-117.68468,-4.03842,-8.44506,23.8242,-31.19768,5521eef3-00d9-4c7e-8480-e407298c5eae,0e317d58-93d9-4ea5-9f63-d92f32c45163,80.08501,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.90280821,865.1113196,0.9515793384,NA
5,2025-01-31,15:30:43,"Fang, Callan",823765,Right,HAR_CRI,NA,Curveball,Live,NA,72.004,2.903964607,0.9536741832,2466.111192,40.30375615,07:15:00,5.90031,0.43311,5.24446,-71.85117,-15.68697,-13.24089,2.64412,0.2259,65.31884,-10.47903478,-1.535176348,0.5393878842,7.3369,-9.29242,-0.51107,50,6.11527,-1.35819,-104.40773,3.23602,7.93345,20.92423,-42.22201,10f1b3ba-57d7-4b1d-847a-db16f80b7bcf,0e317d58-93d9-4ea5-9f63-d92f32c45163,69.88003,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2025-01-31,15:31:00,"Fang, Callan",823765,Right,HAR_CRI,NA,ChangeUp,Live,NA,80.29529,-0.3765395191,-1.32192748,985.2643602,276.0739289,03:15:00,5.88944,0.83723,5.29663,-45.81379,-1.20859,11.02681,1.71805,0.51498,73.19301,-8.885857293,0.7433520807,0.4806889445,-6.25086,-0.52274,-0.72503,50,5.82268,2.33886,-116.65376,-2.23371,-8.51443,24.29869,-32.88608,92f92293-9747-4a13-9130-ada548beacc5,0e317d58-93d9-4ea5-9f63-d92f32c45163,78.41337,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7702107036,985.1753397,0.9999096481,NA
7,2025-01-31,15:31:21,"Fang, Callan",823765,Right,HAR_CRI,NA,Fastball,Live,NA,92.14687,-2.448026948,-1.709293676,2256.461033,211.1644805,01:00:00,5.9728,0.55701,6.09345,-14.23538,18.81581,11.38189,2.52014,-0.07577,82.9445,-5.148148646,0.4582503388,0.4137756734,-6.76639,11.06308,-0.4315,50,5.77694,3.63183,-133.87146,-6.17999,-12.07566,33.3707,-12.43029,6ec6b5fb-a57f-4b3c-9feb-cb50a830afe4,0e317d58-93d9-4ea5-9f63-d92f32c45163,91.0939,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.79584372,2191.365699,0.9711515807,NA
8,2025-01-31,15:31:56,"Fang, Callan",823765,Right,HAR_CRI,NA,Fastball,Live,NA,92.07589,-3.185429208,-2.203261978,2298.376255,199.6771197,12:45:00,5.93689,0.58429,6.28552,-16.56907,16.09861,5.75758,1.61565,-0.96716,83.67252,-6.318084853,-1.108252506,0.4113680458,-3.82145,9.78771,-0.42499,50,5.6942,4.96823,-133.76074,-7.96191,-6.86627,31.07869,-14.58778,4b0a6fe4-30b4-4d6c-b6c7-c89ba019229b,0e317d58-93d9-4ea5-9f63-d92f32c45163,91.62705,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.25347014,2227.623039,0.9692159996,NA
9,2025-01-31,15:32:15,"Fang, Callan",823765,Right,HAR_CRI,NA,Fastball,Live,NA,92.0459,-4.060602763,-0.5982162024,2288.585017,218.2674074,01:15:00,5.79104,0.82658,6.11425,-18.2333,14.79235,11.65486,0.51122,1.24477,83.56365,-7.487360659,1.616592189,0.4136157679,-6.54054,9.33156,-0.78687,50,5.47028,1.02393,-133.61201,-10.06623,-11.68723,31.88404,-15.49957,2568aeba-4cd0-46eb-a870-5c46bcbe3278,0e317d58-93d9-4ea5-9f63-d92f32c45163,91.12912,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2025-01-31,15:32:35,"Fang, Callan",823765,Right,HAR_CRI,NA,Curveball,Live,NA,73.62244,1.785649615,0.3727667045,2564.259061,36.85151778,07:15:00,5.86596,0.56956,5.01932,-72.1292,-17.65197,-13.18795,1.54066,-0.1777,66.59752,-11.6050079,-2.105664796,0.5312254795,7.08006,-9.94088,-0.59506,50,5.98127,-0.29686,-106.74173,1.15311,7.93951,23.17248,-43.32167,c18d3a62-fb54-4e89-87c5-32c5d4dc668f,0e317d58-93d9-4ea5-9f63-d92f32c45163,70.95375,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.57079092,2350.314482,0.9165667062,NA
