player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-10-01,16:38:30,1,1,"Smith, Jack",831899,Right,HAR_CRI,"Smith, Gavin",831889,Right,HAR_CRI,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.38929,-0.910261,-3.771389,2004.110071,223.368897,01:30:00,6.02547,1.38386,5.34117,-24.35379,14.12406,12.13174,3.14014,-1.14824,78.6405,-5.436487,-1.622222,0.446454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.15036,7.71961,-1.05231,50,5.9261,7.71032,-125.08344,-2.82171,-11.29478,25.9285,-19.98009,HAR_CRI,HAR_CRI,OdonnellFieldHarvard,TeamExclusive,Team,20251001-OdonnellFieldHarvard-Private-1,979e75d0-9f06-11f0-a6ac-41804ae13f39,84.4262,NA,NA,7.74879,NA,NA,NA,NA,NA,NA,1c5247d1-4bd1-488c-9469-bd0403daa0a8,2025-10-01,20:38:30,2025-10-01T20:38:30Z,2025-10-01T20:38:30Z,NA,v3,471310,471310,NA,"Brancel, Dominic",831893,Right,HAR_CRI,e0c649ae-bcc0-43d0-b408-906331b71971,55.15681,-126.14787,12.96425,6.02511,-2.00148,-9.99005,-1.37835,8.17399,-5.64739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-10-01,16:38:47,1,2,"Smith, Jack",831899,Right,HAR_CRI,"Smith, Gavin",831889,Right,HAR_CRI,Undefined,1,Top,0,1,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Error,0,0,NA,85.80029,-1.427158,-1.828104,2138.853117,224.688707,01:30:00,6.15163,1.20813,5.15437,-24.29588,15.05028,13.54477,2.78254,0.61536,77.89909,-5.938008,0.569939,0.451463,90.22201,-32.086253,-48.516838,NA,NA,NA,NA,7.28427,7.03992,-32.422393,0.042444,-7.35941,8.32906,-1.0484,50,6.00012,3.37688,-124.34231,-3.93929,-11.42556,26.87648,-19.24306,HAR_CRI,HAR_CRI,OdonnellFieldHarvard,TeamExclusive,Team,20251001-OdonnellFieldHarvard-Private-1,a198a100-9f06-11f0-a6ac-41804ae13f39,83.48945,2.99111,NA,7.9012,NA,NA,NA,2.98862,2.99111,-0.33147,1c5247d1-4bd1-488c-9469-bd0403daa0a8,2025-10-01,20:38:47,2025-10-01T20:38:47Z,2025-10-01T20:38:47Z,GroundBall,v3,471310,471310,NA,"Brancel, Dominic",831893,Right,HAR_CRI,72fddc1c-72fb-4b6f-8b80-ac0d2ffdd3ac,55.34489,-125.49228,13.43824,6.15106,-3.11593,-9.62153,-1.20335,3.86575,-5.71278,180,2.9873,74.45555,NA,NA,NA,NA,NA,NA,NA,2.99235,-70.47252,NA,NA,NA,NA,NA,NA,NA,-0.32999,-84.20654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-10-01,16:39:25,2,1,"Smith, Jack",831899,Right,HAR_CRI,"Witkow, Matthew",10081956,Left,HAR_CRI,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,71.54396,3.199105,0.205019,2474.590269,44.055504,07:30:00,5.72063,1.83825,4.3549,-68.01138,-10.36367,-11.67678,3.11238,1.06104,66.05715,-8.90381,-1.833626,0.546465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.69315,-5.33083,-1.84781,50,5.99567,0.09953,-103.71226,3.33862,6.22911,16.60527,-38.00674,HAR_CRI,HAR_CRI,OdonnellFieldHarvard,TeamExclusive,Team,20251001-OdonnellFieldHarvard-Private-1,b84a1b90-9f06-11f0-a6ac-41804ae13f39,68.97502,NA,NA,5.48682,NA,NA,NA,NA,NA,NA,1c5247d1-4bd1-488c-9469-bd0403daa0a8,2025-10-01,20:39:25,2025-10-01T20:39:25Z,2025-10-01T20:39:25Z,NA,v3,471310,471310,NA,"Brancel, Dominic",831893,Right,HAR_CRI,bcffa0f4-a0c2-45b9-848e-c68aa8b124ee,56.14915,-104.69217,8.30264,5.73247,5.58146,-19.00337,-1.84283,-0.26806,3.11455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-10-01,16:39:47,2,2,"Smith, Jack",831899,Right,HAR_CRI,"Witkow, Matthew",10081956,Left,HAR_CRI,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,86.06134,-1.927617,-3.378399,2093.437295,210.395941,01:00:00,6.21689,1.44559,5.30697,-20.04792,18.97273,10.32457,2.73294,-0.86901,77.990710000000007,-5.699019,-1.549697,0.449592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.17426,10.47229,-1.1463699999999999,50,6.02758,6.89355,-124.51972,-4.83258,-9.61567,26.88813,-15.86469,HAR_CRI,HAR_CRI,OdonnellFieldHarvard,TeamExclusive,Team,20251001-OdonnellFieldHarvard-Private-1,c5831e10-9f06-11f0-a6ac-41804ae13f39,83.83699,NA,NA,8.07063,NA,NA,NA,NA,NA,NA,1c5247d1-4bd1-488c-9469-bd0403daa0a8,2025-10-01,20:39:47,2025-10-01T20:39:47Z,2025-10-01T20:39:47Z,NA,v3,471310,471310,NA,"Brancel, Dominic",831893,Right,HAR_CRI,4712f851-efd4-4b5a-a04d-ee96d747c284,55.18992,-125.6354,13.44407,6.21445,-4.17429,-7.93235,-1.44069,7.29254,-4.80783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-10-01,16:40:08,2,3,"Smith, Jack",831899,Right,HAR_CRI,"Witkow, Matthew",10081956,Left,HAR_CRI,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,76.81812,-4.097214,-3.238505,1646.000485,232.959505,01:45:00,6.08617,1.33519,5.32224,-36.7377,12.28823,14.01997,-0.833,-0.53885,70.49227,-10.780785,-0.746406,0.503946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.1865,7.8417,-1.05283,50,5.68772,5.76834,-111.03698,-9.12339,-10.13773,21.38597,-22.46331,HAR_CRI,HAR_CRI,OdonnellFieldHarvard,TeamExclusive,Team,20251001-OdonnellFieldHarvard-Private-1,d1e74460-9f06-11f0-a6ac-41804ae13f39,74.79456,NA,NA,6.32585,NA,NA,NA,NA,NA,NA,1c5247d1-4bd1-488c-9469-bd0403daa0a8,2025-10-01,20:40:08,2025-10-01T20:40:08Z,2025-10-01T20:40:08Z,NA,v3,471310,471310,NA,"Brancel, Dominic",831893,Right,HAR_CRI,92de8112-1152-4d26-8ea8-c2e074c03eae,55.1795,-112.03012,10.69299,6.08718,-8.08022,-11.23165,-1.33164,6.23913,-5.06887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-10-01,16:40:38,2,4,"Smith, Jack",831899,Right,HAR_CRI,"Witkow, Matthew",10081956,Left,HAR_CRI,Undefined,1,Top,0,1,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,72.37031,3.380179,0.135631,2517.437452,51.803564,07:45:00,5.68274,1.9736,4.35401,-64.23543,-6.59229,-11.06249,3.56274,1.1813,65.24375,-8.148418,-1.794281,0.546443,84.47912,20.899099,-57.770408,5168.865787,47.897,25.26338,-99.02401,211.92337,142.25123,-73.416691,2.438131,5.37118,-3.6766200000000002,-1.97626,50,5.98182,0.21074,-104.56161,3.85218,5.84022,20.56678,-36.17172,HAR_CRI,HAR_CRI,OdonnellFieldHarvard,TeamExclusive,Team,20251001-OdonnellFieldHarvard-Private-1,e43e6580-9f06-11f0-a6ac-41804ae13f39,68.97775,25.25933,NA,7.12656,NA,NA,NA,-0.42558,3.02225,-0.70869,1c5247d1-4bd1-488c-9469-bd0403daa0a8,2025-10-01,20:40:38,2025-10-01T20:40:38Z,2025-10-01T20:40:38Z,LineDrive,v3,471310,471310,NA,"Brancel, Dominic",831893,Right,HAR_CRI,cf14ad6d-163d-47e2-aa7e-0dda748cb477,56.14513,-105.76342,10.28339,5.69497,5.96586,-18.08586,-1.9786,-0.13053,2.92011,NA,-0.42587,61.74726,-18.04992,2.00698,-0.9121,0.69902,-0.36113,0.09399,-0.00937,3.02233,44.19437,-25.68621,4.35623,-0.84206,0.05727,0.04518,-0.01458,0.00127,-0.70865,-97.918,11.55964,-3.79181,1.1385,-0.36499,0.11048,-0.0244,0.00247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-10-01,16:41:03,2,5,"Smith, Jack",831899,Right,HAR_CRI,"Witkow, Matthew",10081956,Left,HAR_CRI,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,0,0,NA,87.49278,-1.164542,-3.06417,2046.205532,217.622884,01:15:00,6.09823,1.42228,5.17322,-19.44292,18.16588,13.05698,3.38038,-0.37589,79.78112,-4.803932,-0.755916,0.441384,77.1306,5.299941,10.660291,876.249097,NA,NA,NA,78.86667,75.72528,10.516762,0.750037,-7.40335,9.75713,-1.14732,50,5.97542,6.20458,-126.78654,-3.23287,-12.04195,26.09823,-16.30354,HAR_CRI,HAR_CRI,OdonnellFieldHarvard,TeamExclusive,Team,20251001-OdonnellFieldHarvard-Private-1,f2f92600-9f06-11f0-a6ac-41804ae13f39,85.39609,4.6445,NA,7.71165,NA,NA,NA,1.16228,3.3392,0.37816,1c5247d1-4bd1-488c-9469-bd0403daa0a8,2025-10-01,20:41:03,2025-10-01T20:41:03Z,2025-10-01T20:41:03Z,GroundBall,v3,471310,471310,NA,"Brancel, Dominic",831893,Right,HAR_CRI,149b40cd-51ea-4f22-85ed-8a780f260140,55.32633,-127.87823,13.04911,6.09638,-2.55089,-8.15177,-1.4174,6.70829,-6.02097,10.280986,1.18579,110.27076,-11.32794,NA,NA,NA,NA,NA,NA,3.37633,9.77935,-19.10175,NA,NA,NA,NA,NA,NA,0.38533,20.70669,-2.71562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-10-01,16:41:41,3,1,"Smith, Jack",831899,Right,HAR_CRI,"Lane, Max",831905,Right,HAR_CRI,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,72.48354,0.991153,-0.830507,2430.692343,30.352229,07:00:00,5.69781,1.83941,4.32696,-64.73488,-8.49784,-5.96922,1.25078,0.54812,67.15915,-10.493604,-1.874344,0.539738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67709,-3.94315,-1.74338,50,5.73865,1.7642,-105.15724,-0.5347,3.00294,17.53789,-36.5972,HAR_CRI,HAR_CRI,OdonnellFieldHarvard,TeamExclusive,Team,20251001-OdonnellFieldHarvard-Private-1,09c24740-9f07-11f0-a6ac-41804ae13f39,69.83475,NA,NA,5.32439,NA,NA,NA,NA,NA,NA,1c5247d1-4bd1-488c-9469-bd0403daa0a8,2025-10-01,20:41:41,2025-10-01T20:41:41Z,2025-10-01T20:41:41Z,NA,v3,471310,471310,NA,"Brancel, Dominic",831893,Right,HAR_CRI,c18bf79b-2aa3-4281-ba1e-a048a2514773,56.17625,-106.1823,8.76895,5.70739,1.60435,-18.2986,-1.84136,1.58868,1.50147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-10-01,16:41:59,3,2,"Smith, Jack",831899,Right,HAR_CRI,"Lane, Max",831905,Right,HAR_CRI,Undefined,1,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,72.15529,0.988016,-3.961244,2478.364106,15.65357,06:30:00,5.75083,1.89115,4.41174,-66.33476,-9.45245,-3.13079,1.16817,-2.1561,66.8695,-10.76377,-4.507073,0.542825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43772,-4.4876,-1.46575,50,5.79,7.35571,-104.45269,-0.55765,0.4838,17.51642,-37.13422,HAR_CRI,HAR_CRI,OdonnellFieldHarvard,TeamExclusive,Team,20251001-OdonnellFieldHarvard-Private-1,144810a0-9f07-11f0-a6ac-41804ae13f39,69.43751,NA,NA,5.2858,NA,NA,NA,NA,NA,NA,1c5247d1-4bd1-488c-9469-bd0403daa0a8,2025-10-01,20:41:59,2025-10-01T20:41:59Z,2025-10-01T20:41:59Z,NA,v3,471310,471310,NA,"Brancel, Dominic",831893,Right,HAR_CRI,3d4a5e6c-744b-4b16-8d53-f7ca9dca6c68,56.09198,-105.46935,8.75821,5.75982,1.59763,-18.56711,-1.89186,7.32763,0.2419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-10-01,16:42:23,3,3,"Smith, Jack",831899,Right,HAR_CRI,"Lane, Max",831905,Right,HAR_CRI,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,Popup,Single,0,0,NA,86.5031,-0.709616,-2.2508,2214.905397,220.880437,01:15:00,6.04793,1.54407,5.25736,-23.47911,14.86233,11.78367,3.42406,0.41018,78.87109,-5.074344,-0.162059,0.445662,78.93231,33.159758,-4.825854,3086.536276,109.89787,62.91366,-4.73767,257.66035,257.66035,1.306401,4.625304,-6.56713,8.00808,-1.34697,50,5.96591,4.41601,-125.44845,-2.36195,-10.44239,25.89239,-19.44038,HAR_CRI,HAR_CRI,OdonnellFieldHarvard,TeamExclusive,Team,20251001-OdonnellFieldHarvard-Private-1,229a4b50-9f07-11f0-a6ac-41804ae13f39,84.57629,71.093,NA,7.63201,NA,NA,NA,1.75601,3.35895,-0.41148,1c5247d1-4bd1-488c-9469-bd0403daa0a8,2025-10-01,20:42:23,2025-10-01T20:42:23Z,2025-10-01T20:42:23Z,FlyBall,v3,471310,471310,NA,"Brancel, Dominic",831893,Right,HAR_CRI,d118b17f-3ef4-498f-a960-7dbb58ba20aa,55.24204,-126.52577,12.94619,6.04735,-1.55308,-9.72019,-1.53974,4.8505,-5.22119,194.451234,1.75624,96.56922,-19.71787,4.69879,-1.03656,0.23505,-0.04757,0.00624,-3.5e-4,3.36029,63.28466,-15.66779,0.10263,0.43482,-0.24475,0.06839,-0.00949,5.2e-4,-0.41158,-8.1519,5.05038,-1.38001,0.33072,-0.07323,0.01317,-0.00154,8e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
