PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-03-28,17:02:26,1,1,"Smith, Connor",1000059653,Right,HIG_PAN,"Hawke, Tommy",1000075439,Left,WAK_DEA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,91.45844,-4.024219,-2.220436,2364.968186,212.798676,01:00:00,6.27268,2.6689,5.5435,-18.96529,14.96434,8.94957,0.9221,1.33839,84.00577,-7.546916,-0.624813,0.419238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.1389,8.98745,-2.4825,50,5.91061,4.73653,-132.44378,-9.97102,-9.15378,27.53668,-16.16492,HIG_PAN,WAK_DEA,HighPointUniversity,D1,BSOU,20230328-HighPointUniversity-1,d8926d50-cdab-11ed-b1a8-7b9a76ea05f5,89.90696,NA,NA,7.45267,NA,NA,NA,NA,NA,NA,52fbf2ed-6c10-4794-86fa-2fdb9a567d12,2023-03-28,21:02:26,2023-03-28T21:02:26Z,2023-03-28T21:02:26Z,NA,v3,471515,471484,NA,"Sutton, Blake",1000101436,Right,HIG_PAN,c2c926d2-41b1-4ef1-b512-6a1196a9316a,54.95889,-133.47081,13.76834,6.27125,-9.36812,-8.08246,-2.66552,5.07794,-4.57689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2023-03-28,17:02:38,1,2,"Smith, Connor",1000059653,Right,HIG_PAN,"Hawke, Tommy",1000075439,Left,WAK_DEA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,90.60761,-1.571954,-3.037308,2361.231087,212.336104,01:00:00,6.10738,3.05037,5.54099,-20.93493,13.53205,7.88776,2.89112,0.86616,83.04981,-5.469459,-1.633299,0.422545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.8087,7.5889,-2.79213,50,5.95706,6.62093,-131.39474,-4.333,-8.43377,26.99929,-18.86421,HIG_PAN,WAK_DEA,HighPointUniversity,D1,BSOU,20230328-HighPointUniversity-1,df6fc820-cdab-11ed-b1a8-7b9a76ea05f5,89.20334,NA,NA,7.5578,NA,NA,NA,NA,NA,NA,52fbf2ed-6c10-4794-86fa-2fdb9a567d12,2023-03-28,21:02:38,2023-03-28T21:02:38Z,2023-03-28T21:02:38Z,NA,v3,471515,471484,NA,"Sutton, Blake",1000101436,Right,HIG_PAN,429d96a1-0fd6-4a6e-a3cd-4b544eb6098a,54.96103,-132.41022,13.49965,6.10669,-3.62349,-9.43211,-3.04712,6.93814,-4.21689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2023-03-28,17:02:51,1,3,"Smith, Connor",1000059653,Right,HIG_PAN,"Hawke, Tommy",1000075439,Left,WAK_DEA,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.21865,1.273554,-1.416082,2626.215461,29.393654,07:00:00,6.48541,2.80306,5.19962,-51.72219,-7.22311,-4.82941,3.37372,1.06834,73.83755,-8.08305,-2.272506,0.480117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01347,-3.51055,-2.66802,50,6.56425,3.07919,-116.45341,0.69731,2.76767,21.66618,-36.99963,HIG_PAN,WAK_DEA,HighPointUniversity,D1,BSOU,20230328-HighPointUniversity-1,e73c16d0-cdab-11ed-b1a8-7b9a76ea05f5,78.5068,NA,NA,6.3811,NA,NA,NA,NA,NA,NA,52fbf2ed-6c10-4794-86fa-2fdb9a567d12,2023-03-28,21:02:51,2023-03-28T21:02:51Z,2023-03-28T21:02:51Z,NA,v3,471515,471484,NA,"Sutton, Blake",1000101436,Right,HIG_PAN,373800f7-1d84-496d-a9a4-3fa5e428e05f,55.30452,-117.43617,10.83309,6.49456,2.37558,-18.49982,-2.80484,2.95365,1.38384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2023-03-28,17:03:05,1,4,"Smith, Connor",1000059653,Right,HIG_PAN,"Hawke, Tommy",1000075439,Left,WAK_DEA,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.67975,-1.133881,-1.817699,2445.790976,186.392365,12:15:00,6.25235,2.67888,5.64113,-22.74383,10.1056,1.0161,3.29854,1.06723,84.76876,-5.35911,-1.636249,0.412511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.01945,5.75705,-2.52502,50,6.14151,4.22256,-134.5105,-3.47989,-1.86785,29.15761,-21.6258,HIG_PAN,WAK_DEA,HighPointUniversity,D1,BSOU,20230328-HighPointUniversity-1,ef509210-cdab-11ed-b1a8-7b9a76ea05f5,91.37322,NA,NA,7.91099,NA,NA,NA,NA,NA,NA,52fbf2ed-6c10-4794-86fa-2fdb9a567d12,2023-03-28,21:03:05,2023-03-28T21:03:05Z,2023-03-28T21:03:05Z,NA,v3,471515,471484,NA,"Sutton, Blake",1000101436,Right,HIG_PAN,2db8817d-284f-4804-82fe-395b85489439,54.85992,-135.55988,14.57881,6.25275,-2.70158,-10.8129,-2.67821,4.28979,-0.93392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2023-03-28,17:03:20,1,5,"Smith, Connor",1000059653,Right,HIG_PAN,"Hawke, Tommy",1000075439,Left,WAK_DEA,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,91.37337,-2.941204,-1.728575,2284.489389,202.577281,12:45:00,6.20568,2.77126,5.60996,-24.99486,8.83079,3.23473,1.37362,1.42677,84.0204,-7.54059,-1.150664,0.418595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.10831,5.59827,-2.62552,50,5.9377,3.855,-132.51046,-7.71739,-3.75797,27.65802,-22.19546,HIG_PAN,WAK_DEA,HighPointUniversity,D1,BSOU,20230328-HighPointUniversity-1,f83d6bf0-cdab-11ed-b1a8-7b9a76ea05f5,90.04505,NA,NA,7.35297,NA,NA,NA,NA,NA,NA,52fbf2ed-6c10-4794-86fa-2fdb9a567d12,2023-03-28,21:03:20,2023-03-28T21:03:20Z,2023-03-28T21:03:20Z,NA,v3,471515,471484,NA,"Sutton, Blake",1000101436,Right,HIG_PAN,a9625345-1dd1-4944-9f33-26fb4c48bc62,54.89187,-133.5276,13.82901,6.20651,-6.90114,-11.09773,-2.76983,3.9932,-1.87898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2023-03-28,17:03:50,2,1,"Smith, Connor",1000059653,Right,HIG_PAN,"Johnson, Justin",1000131885,Right,WAK_DEA,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.10044,-1.038723,-0.808145,2648.316159,24.793576,06:45:00,6.41818,2.57186,5.32898,-52.44645,-7.85367,-4.27654,1.07274,1.4571,73.88697,-10.503436,-1.570732,0.480622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93291,-3.32835,-2.49552,50,6.28582,1.80912,-116.30477,-3.96267,2.63504,22.77672,-36.71143,HIG_PAN,WAK_DEA,HighPointUniversity,D1,BSOU,20230328-HighPointUniversity-1,0a4338c0-cdac-11ed-b1a8-7b9a76ea05f5,78.42428,NA,NA,6.21347,NA,NA,NA,NA,NA,NA,52fbf2ed-6c10-4794-86fa-2fdb9a567d12,2023-03-28,21:03:50,2023-03-28T21:03:50Z,2023-03-28T21:03:50Z,NA,v3,471515,471484,NA,"Sutton, Blake",1000101436,Right,HIG_PAN,f1e96936-3883-43c0-9194-572dbf187485,55.17627,-117.3141,11.38836,6.42537,-2.33585,-18.35572,-2.5731,1.69236,1.31752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2023-03-28,17:04:20,2,2,"Smith, Connor",1000059653,Right,HIG_PAN,"Johnson, Justin",1000131885,Right,WAK_DEA,Undefined,1,Top,0,1,0,Fastball,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,90.69059,-2.877526,-2.747253,2341.84818,193.963076,12:30:00,6.31972,2.42446,5.5631,-27.39942,7.14996,1.50354,1.34267,-0.01891,83.20961,-7.902006,-2.47917,0.42305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.53992,4.75024,-2.18812,50,6.05273,6.23954,-131.40164,-7.61457,-2.689,28.17169,-23.87925,HIG_PAN,WAK_DEA,HighPointUniversity,D1,BSOU,20230328-HighPointUniversity-1,1c926aa0-cdac-11ed-b1a8-7b9a76ea05f5,89.09692,NA,NA,7.48098,NA,NA,NA,NA,NA,NA,52fbf2ed-6c10-4794-86fa-2fdb9a567d12,2023-03-28,21:04:20,2023-03-28T21:04:20Z,2023-03-28T21:04:20Z,NA,v3,471515,471484,NA,"Sutton, Blake",1000101436,Right,HIG_PAN,d23620f5-4714-454c-89da-ec0cc3e999e0,54.93944,-132.4564,14.08585,6.32109,-6.72053,-11.93962,-2.42361,6.34021,-1.3445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2023-03-28,17:04:37,2,3,"Smith, Connor",1000059653,Right,HIG_PAN,"Johnson, Justin",1000131885,Right,WAK_DEA,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,91.28578,-2.855337,-3.01347,2393.562342,204.986957,12:45:00,6.2572,2.63995,5.47963,-18.09706,16.03843,6.96709,2.07136,0.39813,83.61961,-6.237003,-1.774772,0.420508,104.14825,7.607411,-24.678289,1524.161325,97.54318,6.63603,-50.84496,163.22425,163.22425,-29.057657,1.240328,-4.35725,9.20965,-2.38011,50,5.99392,6.65075,-132.24598,-7.21581,-7.72951,27.75392,-15.83661,HIG_PAN,WAK_DEA,HighPointUniversity,D1,BSOU,20230328-HighPointUniversity-1,26865440-cdac-11ed-b1a8-7b9a76ea05f5,89.63545,7.57951,NA,7.66617,NA,NA,NA,1.47063,2.14729,-0.41142,52fbf2ed-6c10-4794-86fa-2fdb9a567d12,2023-03-28,21:04:37,2023-03-28T21:04:37Z,2023-03-28T21:04:37Z,LineDrive,v3,471515,471484,NA,"Sutton, Blake",1000101436,Right,HIG_PAN,3a9eee5a-6125-42ba-b088-b29f260263b6,55.02285,-133.29593,13.87696,6.25557,-6.6167,-7.9183,-2.63725,6.94316,-3.86476,88.01998,1.47063,137.57762,-23.14361,4.11772,-0.88431,0.174,-0.03501,0.00614,-6.1e-4,2.14729,20.22181,-19.91699,2.25114,-0.48543,0.1137,-0.02345,0.00424,-4.5e-4,-0.41142,-63.21549,-1.6974,1.59775,-0.5149,0.14448,-0.03462,0.00668,-7.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2023-03-28,17:05:18,3,1,"Smith, Connor",1000059653,Right,HIG_PAN,"Kurtz, Nick",1000069477,Left,WAK_DEA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,93.34246,-4.052996,-2.91768,2486.658474,211.066345,01:00:00,6.14858,2.70505,5.85724,-16.6995,15.42493,8.69595,0.97995,0.71642,85.91347,-7.182082,-1.359944,0.407933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.23937,9.27335,-2.47315,50,5.80875,6.51491,-135.20885,-10.13138,-9.75356,27.92812,-14.9108,HIG_PAN,WAK_DEA,HighPointUniversity,D1,BSOU,20230328-HighPointUniversity-1,3ea875d0-cdac-11ed-b1a8-7b9a76ea05f5,92.39854,NA,NA,7.42899,NA,NA,NA,NA,NA,NA,52fbf2ed-6c10-4794-86fa-2fdb9a567d12,2023-03-28,21:05:18,2023-03-28T21:05:18Z,2023-03-28T21:05:18Z,NA,v3,471515,471484,NA,"Sutton, Blake",1000101436,Right,HIG_PAN,16a4507e-401b-4417-9381-85a85667dd91,54.64607,-136.16514,13.96406,6.14692,-9.62082,-7.4554,-2.70195,6.84888,-4.87678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2023-03-28,17:05:34,3,2,"Smith, Connor",1000059653,Right,HIG_PAN,"Kurtz, Nick",1000069477,Left,WAK_DEA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.03656,-2.550549,-2.21449,2475.165992,206.613779,01:00:00,6.09705,2.9504,5.58823,-17.70151,15.60308,7.30193,2.23677,1.48988,84.49424,-5.863675,-0.91222,0.415359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.27244,8.88571,-2.7649,50,5.86622,4.83044,-133.48663,-6.54051,-7.74503,27.47177,-16.06611,HIG_PAN,WAK_DEA,HighPointUniversity,D1,BSOU,20230328-HighPointUniversity-1,48138060-cdac-11ed-b1a8-7b9a76ea05f5,90.7467,NA,NA,7.54233,NA,NA,NA,NA,NA,NA,52fbf2ed-6c10-4794-86fa-2fdb9a567d12,2023-03-28,21:05:34,2023-03-28T21:05:34Z,2023-03-28T21:05:34Z,NA,v3,471515,471484,NA,"Sutton, Blake",1000101436,Right,HIG_PAN,8f79a991-ff73-40cd-b471-4ba0b11b84e3,54.91319,-134.49397,13.73589,6.09525,-5.95139,-8.03305,-2.94723,5.11444,-3.87251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
