PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-04-25,17:59:55,1,1,"Miller, Jay",1000188493,Right,UNC_SPA,"Echazarreta, Miggy",1000118288,Right,HIG_PAN,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.71941,-4.15396,-3.419626,1901.863976,220.104237,01:15:00,6.22381,1.3855,5.92104,-18.14832,18.67084,14.62139,0.84289,-0.57327,79.68591,-7.596396,-0.798345,0.436725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.6852,11.28367,-1.12027,50,5.88002,7.00211,-126.86126,-9.75703,-14.01474,28.336,-13.96638,UNC_SPA,HIG_PAN,UNCGreensboro,D1,SOCON,20230425-UNCGreensboro-1,839bfd10-e3b4-11ed-b26e-c3acf6254ad8,86.30698,NA,NA,8.03351,NA,NA,NA,NA,NA,NA,bb2e8d92-0a77-4cb4-bd18-4fc9896c9591,2023-04-25,21:59:55,2023-04-25T21:59:55Z,2023-04-25T21:59:55Z,NA,v3,471372,471515,NA,"Callahan, Dallas",1000016965,Right,UNC_SPA,6d5546ca-3563-480b-a1ef-e0fcae592f0c,54.58152,-127.88051,14.168,6.22195,-9.25467,-6.98319,-1.3812,7.50621,-7.00737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2023-04-25,18:00:06,1,2,"Miller, Jay",1000188493,Right,UNC_SPA,"Echazarreta, Miggy",1000118288,Right,HIG_PAN,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.37034,-0.039075,-2.068301,1954.766869,219.839655,01:15:00,6.2736,1.41851,5.7959,-19.63643,16.71962,12.87316,4.60086,0.56652,79.65936,-3.778721,0.236292,0.43397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.14241,8.88441,-1.25576,50,6.25877,4.05929,-128.10867,-0.67423,-11.72151,29.54959,-17.59369,UNC_SPA,HIG_PAN,UNCGreensboro,D1,SOCON,20230425-UNCGreensboro-1,8a492020-e3b4-11ed-b26e-c3acf6254ad8,86.85498,NA,NA,8.71098,NA,NA,NA,NA,NA,NA,bb2e8d92-0a77-4cb4-bd18-4fc9896c9591,2023-04-25,22:00:06,2023-04-25T22:00:06Z,2023-04-25T22:00:06Z,NA,v3,471372,471515,NA,"Callahan, Dallas",1000016965,Right,UNC_SPA,9655ed82-18a1-4d21-9653-b41b93a8f245,54.70101,-129.18846,14.77479,6.27166,-0.03133,-8.79685,-1.41192,4.48761,-5.86075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2023-04-25,18:00:19,1,3,"Miller, Jay",1000188493,Right,UNC_SPA,"Echazarreta, Miggy",1000118288,Right,HIG_PAN,Undefined,1,Top,0,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,87.44405,-1.996201,-1.840445,2010.302356,231.868096,01:45:00,6.21156,1.41159,5.79182,-23.05572,13.9404,16.13556,2.43154,1.04353,79.45831,-6.320045,1.05101,0.437774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.74174,8.08528,-1.2696,50,6.03339,3.38505,-126.79896,-5.15465,-14.11544,27.91109,-19.11858,UNC_SPA,HIG_PAN,UNCGreensboro,D1,SOCON,20230425-UNCGreensboro-1,91d8db00-e3b4-11ed-b26e-c3acf6254ad8,86.10031,NA,NA,7.98574,NA,NA,NA,NA,NA,NA,bb2e8d92-0a77-4cb4-bd18-4fc9896c9591,2023-04-25,22:00:19,2023-04-25T22:00:19Z,2023-04-25T22:00:19Z,NA,v3,471372,471515,NA,"Callahan, Dallas",1000016965,Right,UNC_SPA,4101f81e-46df-4421-b020-8c436f1f0590,54.7073,-127.83094,13.95555,6.21091,-4.44776,-9.55929,-1.40441,3.90695,-7.05772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2023-04-25,18:00:30,1,4,"Miller, Jay",1000188493,Right,UNC_SPA,"Echazarreta, Miggy",1000118288,Right,HIG_PAN,Undefined,1,Top,0,2,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,87.73217,-2.358706,-2.432648,1987.483047,233.944745,01:45:00,6.1449,1.29754,5.9615,-23.33411,13.05135,16.27292,2.00995,0.39646,80.11077,-6.729101,0.491783,0.434145,81.39792,5.594797,7.019597,1937.631046,NA,NA,NA,73.30924,72.31809,7.788353,0.657246,-9.11654,7.74713,-1.1137,50,5.94443,4.74884,-127.26825,-5.97935,-14.89031,27.13124,-19.5204,UNC_SPA,HIG_PAN,UNCGreensboro,D1,SOCON,20230425-UNCGreensboro-1,98aee2d0-e3b4-11ed-b26e-c3acf6254ad8,86.81986,3.47588,NA,7.6214,NA,NA,NA,1.75034,2.04788,-0.40735,bb2e8d92-0a77-4cb4-bd18-4fc9896c9591,2023-04-25,22:00:30,2023-04-25T22:00:30Z,2023-04-25T22:00:30Z,GroundBall,v3,471372,471515,NA,"Callahan, Dallas",1000016965,Right,UNC_SPA,a53f62a1-b101-4c17-8c31-55e1d33e4817,54.54025,-128.23249,13.56562,6.1446,-5.2856,-9.7602,-1.29187,5.27804,-7.44515,326.935812,1.77323,117.45267,-14.71564,NA,NA,NA,NA,NA,NA,2.08517,10.8703,-21.44627,NA,NA,NA,NA,NA,NA,-0.41726,14.72577,1.57947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
5,2023-04-25,18:01:02,2,1,"Miller, Jay",1000188493,Right,UNC_SPA,"Matthews, Patrick",1000119447,Left,HIG_PAN,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,77.11032,0.496151,-2.543652,1836.105616,265.158628,02:45:00,5.85053,1.58981,5.95644,-44.34991,3.10292,16.93288,2.6153,0.64037,69.98322,-7.724529,0.50018,0.495795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.44839,1.95433,-1.39683,50,5.86554,4.34128,-111.83853,-0.37639,-11.81086,22.62414,-29.73107,UNC_SPA,HIG_PAN,UNCGreensboro,D1,SOCON,20230425-UNCGreensboro-1,abcbc4f0-e3b4-11ed-b26e-c3acf6254ad8,76.0242,NA,NA,7.1271,NA,NA,NA,NA,NA,NA,bb2e8d92-0a77-4cb4-bd18-4fc9896c9591,2023-04-25,22:01:02,2023-04-25T22:01:02Z,2023-04-25T22:01:02Z,NA,v3,471372,471515,NA,"Callahan, Dallas",1000016965,Right,UNC_SPA,586d8b78-a0f3-4bd2-a16a-197aadf00861,54.54353,-112.75391,11.31207,5.85643,0.82654,-14.86554,-1.58215,4.81914,-5.90543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2023-04-25,18:01:13,2,2,"Miller, Jay",1000188493,Right,UNC_SPA,"Matthews, Patrick",1000119447,Left,HIG_PAN,Undefined,1,Top,1,0,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,88.83635,-1.867728,-2.517477,1956.617232,215.87794,01:15:00,6.27471,1.25821,5.89948,-18.07678,17.66186,11.8769,3.03205,-0.09074,80.5322,-5.311561,-0.387512,0.430269,94.09361,20.645857,0.991379,1287.56312,109.9855,35.66307,-1.74151,306.38618,298.16442,-3.414106,3.487588,-6.85465,9.978,-1.06245,50,6.11404,5.1621,-128.79069,-4.73192,-11.40996,28.98628,-15.5651,UNC_SPA,HIG_PAN,UNCGreensboro,D1,SOCON,20230425-UNCGreensboro-1,b2616860-e3b4-11ed-b26e-c3acf6254ad8,87.60197,41.87746,NA,8.30414,NA,NA,NA,0.67489,2.94449,0.09145,bb2e8d92-0a77-4cb4-bd18-4fc9896c9591,2023-04-25,22:01:13,2023-04-25T22:01:13Z,2023-04-25T22:01:13Z,LineDrive,v3,471372,471515,NA,"Callahan, Dallas",1000016965,Right,UNC_SPA,9ae86124-3e1f-46ae-adc4-044a31d539a2,54.60021,-129.82191,14.49314,6.27253,-4.17818,-7.78255,-1.25332,5.56802,-5.70498,145.661259,0.67456,129.13136,-21.62826,4.87435,-0.97936,0.16649,-0.02373,0.00224,-6e-5,2.94479,48.64974,-15.98574,0.46723,-0.00934,0.0343,-0.02068,0.00559,-5.6e-4,0.0912,2.24213,-6.00584,2.31974,-0.57669,0.08637,-0.00496,-6.4e-4,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2023-04-25,18:01:41,3,1,"Miller, Jay",1000188493,Right,UNC_SPA,"Fields, Javon",1000058600,Right,HIG_PAN,Undefined,1,Top,2,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.21878,-3.351816,-2.080636,1917.259819,229.615704,01:45:00,6.17874,1.30443,5.96446,-20.65655,15.5032,16.75887,1.34379,0.77088,80.30701,-7.240572,0.932222,0.432797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.34142,9.36268,-1.14913,50,5.90103,3.97225,-127.85992,-8.12109,-15.33268,28.45337,-16.80652,UNC_SPA,HIG_PAN,UNCGreensboro,D1,SOCON,20230425-UNCGreensboro-1,c288d840-e3b4-11ed-b26e-c3acf6254ad8,87.0904,NA,NA,7.91177,NA,NA,NA,NA,NA,NA,bb2e8d92-0a77-4cb4-bd18-4fc9896c9591,2023-04-25,22:01:41,2023-04-25T22:01:41Z,2023-04-25T22:01:41Z,NA,v3,471372,471515,NA,"Callahan, Dallas",1000016965,Right,UNC_SPA,d56a9d30-9946-4279-b4ee-7872050aab46,54.53764,-128.86575,14.22668,6.17761,-7.52698,-8.40326,-1.29913,4.51426,-7.66634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2023-04-25,18:01:54,3,2,"Miller, Jay",1000188493,Right,UNC_SPA,"Fields, Javon",1000058600,Right,HIG_PAN,Undefined,1,Top,2,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.72594,-1.358196,-1.984724,1952.547115,219.104184,01:15:00,6.18207,1.51267,5.76856,-19.20324,18.38517,13.9006,3.31677,0.8232,78.72927,-5.004915,0.503383,0.441264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.62847,10.13158,-1.35673,50,6.05811,3.76604,-125.78123,-3.54519,-12.13791,27.13367,-16.05337,UNC_SPA,HIG_PAN,UNCGreensboro,D1,SOCON,20230425-UNCGreensboro-1,ca7d9680-e3b4-11ed-b26e-c3acf6254ad8,85.41924,NA,NA,7.99667,NA,NA,NA,NA,NA,NA,bb2e8d92-0a77-4cb4-bd18-4fc9896c9591,2023-04-25,22:01:54,2023-04-25T22:01:54Z,2023-04-25T22:01:54Z,NA,v3,471372,471515,NA,"Callahan, Dallas",1000016965,Right,UNC_SPA,d3820266-27d4-4040-9aee-f2e393f0f391,54.72999,-126.79749,13.56684,6.17963,-2.94393,-8.02669,-1.5063,4.22065,-6.06896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2023-04-25,18:02:05,3,3,"Miller, Jay",1000188493,Right,UNC_SPA,"Fields, Javon",1000058600,Right,HIG_PAN,Undefined,1,Top,2,2,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.3541,-0.841871,-1.84882,1927.825382,216.991738,01:15:00,6.23667,1.37323,6.01559,-19.30572,18.34214,12.83005,3.84753,0.72913,78.14792,-4.533921,0.458185,0.441613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.11493,10.05154,-1.23488,50,6.16006,3.51242,-125.27995,-2.37325,-11.19413,27.6814,-16.35961,UNC_SPA,HIG_PAN,UNCGreensboro,D1,SOCON,20230425-UNCGreensboro-1,d0d127e0-e3b4-11ed-b26e-c3acf6254ad8,85.35183,NA,NA,8.20618,NA,NA,NA,NA,NA,NA,bb2e8d92-0a77-4cb4-bd18-4fc9896c9591,2023-04-25,22:02:05,2023-04-25T22:02:05Z,2023-04-25T22:02:05Z,NA,v3,471372,471515,NA,"Callahan, Dallas",1000016965,Right,UNC_SPA,f0df999f-5e8f-4a9a-a1ee-51663a417e79,54.48233,-126.26646,13.8407,6.23425,-1.79023,-8.1798,-1.36717,3.91136,-5.59707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2023-04-25,18:02:18,3,4,"Miller, Jay",1000188493,Right,UNC_SPA,"Fields, Javon",1000058600,Right,HIG_PAN,Undefined,1,Top,2,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,87.98725,-1.6137,-1.805396,1921.516362,214.322212,01:15:00,6.27074,1.28282,5.82132,-19.56513,17.09887,10.77442,3.13883,0.50157,79.45351,-5.333025,0.125402,0.435804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.04866,9.61067,-1.14143,50,6.12722,3.55791,-127.53963,-4.17661,-9.8316,29.45956,-16.55271,UNC_SPA,HIG_PAN,UNCGreensboro,D1,SOCON,20230425-UNCGreensboro-1,d91f29b0-e3b4-11ed-b26e-c3acf6254ad8,86.48944,NA,NA,8.53374,NA,NA,NA,NA,NA,NA,bb2e8d92-0a77-4cb4-bd18-4fc9896c9591,2023-04-25,22:02:18,2023-04-25T22:02:18Z,2023-04-25T22:02:18Z,NA,v3,471372,471515,NA,"Callahan, Dallas",1000016965,Right,UNC_SPA,84878239-fa9c-4a02-981c-0ff9e20f19fc,54.67664,-128.61532,14.72978,6.26869,-3.57221,-8.27635,-1.2779,3.9169,-4.9158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
